Sl, ROLL NO. ,HU101,PH101,M101,ME101,ES101,PH191,ES191,ME192,HU181,XC181, SGPA 
0, 10900113001 ,B,B,B,C,C,B,E,E,O,C,7.15
1, 10900113002 ,B,E,A,B,B,E,E,E,E,E,8.11
2, 10900113003 ,B,B,A,A,A,A,E,A,E,E,7.93
3, 10900113004 ,B,B,A,A,B,E,O,O,O,O,8.22
4, 10900113005 ,F,F,F,F,F,B,B,C,A,A,3.63
5, 10900113006 ,C,A,A,B,A,E,E,E,E,E,8.04
6, 10900113007 ,B,B,A,A,B,B,E,A,A,E,7.67
7, 10900113008 ,D,C,C,B,C,E,O,E,A,C,7.00
8, 10900113009 ,E,E,E,A,E,E,E,O,E,A,8.93
9, 10900113010 ,D,C,C,D,F,B,E,A,A,A,5.85
10, 10900113011 ,B,B,B,C,B,A,E,B,E,E,7.22
11, 10900113012 ,D,C,D,F,F,B,B,C,B,C,4.78
12, 10900113013 ,B,E,A,C,A,A,E,E,E,E,8.04
13, 10900113014 ,C,E,E,C,A,E,E,A,O,A,8.07
14, 10900113015 ,B,B,E,C,A,A,E,E,A,C,7.74
15, 10900113016 ,C,B,C,D,B,A,E,A,A,A,6.89
16, 10900113017 ,A,A,E,B,E,A,O,O,E,O,8.63
17, 10900113018 ,B,B,A,D,B,A,B,A,E,E,7.19
18, 10900113019 ,B,B,E,B,B,A,E,B,A,A,7.59
19, 10900113020 ,D,D,B,C,B,A,A,C,E,C,6.48
20, 10900113021 ,C,C,B,D,D,A,E,A,A,B,6.56
21, 10900113022 ,B,C,B,B,D,A,E,A,E,E,7.04
22, 10900113023 ,B,B,A,C,B,E,E,E,E,E,7.67
23, 10900113024 ,C,D,C,F,C,A,E,A,B,A,5.96
24, 10900113025 ,C,C,D,F,C,B,E,E,A,A,6.04
25, 10900113026 ,B,E,E,A,E,A,E,B,E,E,8.41
26, 10900113027 ,B,A,B,B,A,A,E,E,E,C,7.78
27, 10900113028 ,C,B,A,C,B,A,E,A,B,C,7.22
28, 10900113029 ,C,D,B,F,D,A,A,A,E,C,5.89
29, 10900113030 ,C,C,A,B,D,A,A,O,E,E,7.26
30, 10900113031 ,E,B,C,D,C,A,E,A,E,A,7.00
31, 10900113032 ,B,C,C,C,D,B,A,B,A,B,6.37
32, 10900113033 ,A,A,E,B,B,E,E,E,E,A,8.15
33, 10900113034 ,B,C,B,C,D,A,A,A,A,F,6.52
34, 10900113035 ,C,C,A,B,C,A,E,A,A,A,7.19
35, 10900113036 ,A,A,E,B,B,A,E,A,O,B,7.96
36, 10900113037 ,B,B,A,C,C,A,E,B,A,B,7.11
37, 10900113038 ,D,B,A,A,A,A,E,A,B,A,7.67
38, 10900113039 ,C,A,E,A,A,A,E,A,A,B,8.04
39, 10900113040 ,B,B,A,A,B,E,O,A,O,E,7.96
40, 10900113041 ,B,D,B,C,C,A,E,E,E,E,7.00
41, 10900113042 ,C,C,C,D,D,B,E,B,E,A,6.30
